EC_M01,EC_M02,EC_M03,EC_25C_M01,EC_25C_M02,EC_25C_M03,Temp_M01_C,Temp_M02_C,Temp_M03_C,Mercury_Temp,EC_TrueTemp_M01,EC_TrueTemp_M02,EC_TrueTemp_M03,Temp_Error_M01,Temp_Error_M02,Temp_Error_M03
450.0,1299.0,1277.0,264.70588235294116,764.1176470588234,751.1764705882352,58.65,60.37,54.21,60.0,15882.35294117647,45847.058823529405,45070.58823529411,-1.3500000000000014,0.36999999999999744,-5.789999999999999
364.0,1049.0,1099.0,280.0,806.9230769230769,845.3846153846154,39.12,38.8,41.85,40.0,11200.0,32276.923076923078,33815.38461538462,-0.8800000000000026,-1.2000000000000028,1.8500000000000014
607.0,608.0,,357.0588235294117,357.6470588235294,,58.1,49.44,,60.0,21423.529411764703,21458.823529411762,,-1.8999999999999986,-10.560000000000002,
442.0,1322.0,1361.0,232.63157894736844,695.7894736842105,716.3157894736843,69.58,70.0,73.55,70.0,16284.21052631579,48705.26315789473,50142.1052631579,-0.4200000000000017,0.0,3.549999999999997
441.0,1234.0,1170.0,400.9090909090909,1121.8181818181818,1063.6363636363635,30.66,30.04,29.51,30.0,12027.272727272726,33654.545454545456,31909.090909090904,0.6600000000000001,0.03999999999999915,-0.48999999999999844
438.0,1222.0,1164.0,398.18181818181813,1110.9090909090908,1058.181818181818,30.55,29.79,30.5,30.0,11945.454545454544,33327.27272727272,31745.45454545454,0.5500000000000007,-0.21000000000000085,0.5
371.0,1073.0,986.0,371.0,1073.0,986.0,24.56,25.5,22.21,25.0,9275.0,26825.0,24650.0,-0.4400000000000013,0.5,-2.789999999999999
422.0,1318.0,1457.0,222.10526315789474,693.6842105263158,766.8421052631579,68.78,70.09,72.56,70.0,15547.368421052632,48557.89473684211,53678.94736842105,-1.2199999999999989,0.09000000000000341,2.5600000000000023
290.0,246.0,,258.9285714285714,219.6428571428571,,29.99,28.38,,31.0,8026.785714285713,6808.928571428571,,-1.0100000000000016,-2.620000000000001,
,1250.0,,,563.0630630630632,,,82.05,,86.0,,48423.42342342343,,,-3.950000000000003,
228.0,763.0,692.0,120.0,401.5789473684211,364.2105263157895,68.43,69.94,63.18,70.0,8400.0,28110.526315789477,25494.736842105263,-1.5699999999999932,-0.060000000000002274,-6.82
399.0,1355.0,1635.0,190.0,645.2380952380952,778.5714285714286,79.54,80.73,85.01,80.0,15200.0,51619.04761904762,62285.71428571428,-0.45999999999999375,0.730000000000004,5.010000000000005
,1242.0,,,627.2727272727273,,,72.08,,74.0,,46418.181818181816,,,-1.9200000000000017,
435.0,1227.0,1176.0,334.6153846153846,943.8461538461538,904.6153846153845,39.78,39.09,39.6,40.0,13384.615384615383,37753.846153846156,36184.61538461538,-0.21999999999999886,-0.9099999999999966,-0.3999999999999986
439.0,1354.0,1375.0,231.05263157894737,712.6315789473684,723.6842105263158,69.94,69.79,69.21,70.0,16173.684210526317,49884.210526315794,50657.89473684211,-0.060000000000002274,-0.20999999999999375,-0.7900000000000063
,926.0,,,701.5151515151515,,,40.3,,41.0,,28762.121212121212,,,-0.7000000000000028,
,851.0,,,905.3191489361702,,,21.11,,22.0,,19917.021276595744,,,-0.8900000000000006,
163.0,486.0,419.0,148.18181818181816,441.81818181818176,380.9090909090909,29.69,29.92,28.36,30.0,4445.454545454545,13254.545454545452,11427.272727272726,-0.3099999999999987,-0.0799999999999983,-1.6400000000000006
124.0,374.0,345.0,72.94117647058823,219.99999999999997,202.9411764705882,59.46,59.31,53.73,60.0,4376.470588235294,13199.999999999998,12176.470588235292,-0.5399999999999991,-0.6899999999999977,-6.270000000000003
,1264.0,,,743.5294117647059,,,59.01,,60.0,,44611.76470588235,,,-0.990000000000002,
288.0,850.0,774.0,288.0,850.0,774.0,24.83,25.99,22.23,25.0,7200.0,21250.0,19350.0,-0.1700000000000017,0.9899999999999984,-2.7699999999999996
407.0,457.0,,271.3333333333333,304.6666666666667,,49.44,45.54,,50.0,13566.666666666666,15233.333333333334,,-0.5600000000000023,-4.460000000000001,
413.0,1380.0,1335.0,196.66666666666666,657.1428571428571,635.7142857142857,80.73,81.16,82.96,80.0,15733.333333333332,52571.428571428565,50857.142857142855,0.730000000000004,1.1599999999999966,2.9599999999999937
388.0,1101.0,1150.0,298.46153846153845,846.9230769230769,884.6153846153846,38.77,38.74,40.36,40.0,11938.461538461539,33876.92307692308,35384.61538461538,-1.2299999999999969,-1.259999999999998,0.35999999999999943
427.0,1198.0,1146.0,388.18181818181813,1089.090909090909,1041.8181818181818,30.32,30.91,29.89,30.0,11645.454545454544,32672.727272727272,31254.545454545452,0.3200000000000003,0.9100000000000001,-0.10999999999999943
438.0,1285.0,1201.0,257.6470588235294,755.8823529411764,706.470588235294,59.53,58.35,62.14,60.0,15458.823529411764,45352.94117647058,42388.23529411764,-0.46999999999999886,-1.6499999999999986,2.1400000000000006
,1230.0,,,759.2592592592592,,,46.42,,56.0,,42518.51851851852,,,-9.579999999999998,
183.0,495.0,522.0,183.0,495.0,522.0,23.64,23.86,24.44,25.0,4575.0,12375.0,13050.0,-1.3599999999999994,-1.1400000000000006,-0.5599999999999987
442.0,1285.0,1270.0,294.6666666666667,856.6666666666666,846.6666666666666,48.93,50.37,47.17,50.0,14733.333333333334,42833.33333333333,42333.33333333333,-1.0700000000000003,0.36999999999999744,-2.8299999999999983
587.0,665.0,,598.9795918367347,678.5714285714286,,24.01,23.57,,24.0,14375.510204081633,16285.714285714286,,0.010000000000001563,-0.4299999999999997,
435.0,1328.0,1383.0,228.94736842105263,698.9473684210527,727.8947368421053,71.53,70.61,73.55,70.0,16026.315789473683,48926.31578947369,50952.631578947374,1.5300000000000011,0.6099999999999994,3.549999999999997
67.0,120.0,112.0,44.666666666666664,80.0,74.66666666666667,50.41,51.36,45.54,50.0,2233.333333333333,4000.0,3733.3333333333335,0.4099999999999966,1.3599999999999994,-4.460000000000001
,1104.0,,,649.4117647058823,,,59.53,,60.0,,38964.70588235294,,,-0.46999999999999886,
382.0,401.0,,382.0,401.0,,24.39,24.44,,25.0,9550.0,10025.0,,-0.6099999999999994,-0.5599999999999987,
,1201.0,,,909.8484848484848,,,37.15,,41.0,,37303.78787878787,,,-3.8500000000000014,
428.0,1229.0,1223.0,329.2307692307692,945.3846153846154,940.7692307692307,38.77,38.42,36.49,40.0,13169.23076923077,37815.38461538462,37630.76923076923,-1.2299999999999969,-1.5799999999999983,-3.509999999999998
450.0,1297.0,1341.0,264.70588235294116,762.9411764705882,788.8235294117646,59.47,60.97,61.3,60.0,15882.35294117647,45776.470588235294,47329.41176470588,-0.5300000000000011,0.9699999999999989,1.2999999999999972
309.0,866.0,803.0,309.0,866.0,803.0,25.38,24.7,21.02,25.0,7725.0,21650.0,20075.0,0.379999999999999,-0.3000000000000007,-3.9800000000000004
,1308.0,,,674.2268041237113,,,64.87,,72.0,,48544.32989690721,,,-7.1299999999999955,
,1300.0,,,670.1030927835052,,,72.89,,72.0,,48247.422680412375,,,0.8900000000000006,
464.0,510.0,,272.94117647058823,299.99999999999994,,60.37,52.49,,60.0,16376.470588235294,17999.999999999996,,0.36999999999999744,-7.509999999999998,
,827.0,,,551.3333333333334,,,42.74,,50.0,,27566.666666666668,,,-7.259999999999998,
431.0,1331.0,1345.0,226.84210526315792,700.5263157894738,707.8947368421053,69.43,70.39,66.46,70.0,15878.947368421053,49036.84210526316,49552.631578947374,-0.5699999999999932,0.39000000000000057,-3.5400000000000063
,1195.0,,,766.025641025641,,,50.29,,53.0,,40599.35897435897,,,-2.710000000000001,
421.0,1213.0,1216.0,323.8461538461538,933.0769230769231,935.3846153846154,39.36,39.48,37.58,40.0,12953.846153846152,37323.07692307692,37415.38461538462,-0.6400000000000006,-0.5200000000000031,-2.4200000000000017
95.0,250.0,248.0,86.36363636363636,227.27272727272725,225.45454545454544,29.03,31.44,28.41,30.0,2590.909090909091,6818.181818181818,6763.636363636363,-0.9699999999999989,1.4400000000000013,-1.5899999999999999
436.0,1288.0,1210.0,256.4705882352941,757.6470588235293,711.7647058823528,58.96,60.35,64.56,60.0,15388.235294117645,45458.823529411755,42705.88235294117,-1.0399999999999991,0.3500000000000014,4.560000000000002
107.0,123.0,,62.94117647058823,72.35294117647058,,60.37,51.7,,60.0,3776.4705882352937,4341.176470588235,,0.36999999999999744,-8.299999999999997,
132.0,391.0,360.0,119.99999999999999,355.45454545454544,327.27272727272725,29.23,29.33,28.98,30.0,3599.9999999999995,10663.636363636364,9818.181818181818,-0.7699999999999996,-0.6700000000000017,-1.0199999999999996
,1079.0,,,700.6493506493506,,,50.77,,52.0,,36433.76623376623,,,-1.2299999999999969,
,1363.0,,,608.4821428571428,,,82.27,,87.0,,52937.94642857142,,,-4.730000000000004,
364.0,1214.0,1144.0,364.0,1214.0,1144.0,21.33,22.88,23.29,25.0,9100.0,30350.0,28600.0,-3.6700000000000017,-2.120000000000001,-1.7100000000000009
,1379.0,,,696.4646464646464,,,68.5,,74.0,,51538.38383838384,,,-5.5,
439.0,1355.0,1336.0,231.05263157894737,713.1578947368422,703.1578947368421,69.21,69.79,70.46,70.0,16173.684210526317,49921.052631578954,49221.05263157895,-0.7900000000000063,-0.20999999999999375,0.45999999999999375
,1130.0,,,1008.9285714285713,,,30.5,,31.0,,31276.78571428571,,,-0.5,
406.0,1295.0,1219.0,213.6842105263158,681.578947368421,641.578947368421,68.06,70.23,63.24,70.0,14957.894736842107,47710.52631578947,44910.52631578947,-1.9399999999999977,0.23000000000000398,-6.759999999999998
345.0,1066.0,1265.0,164.28571428571428,507.6190476190476,602.3809523809524,78.06,78.76,83.79,80.0,13142.857142857141,40609.52380952381,48190.47619047619,-1.9399999999999977,-1.2399999999999949,3.7900000000000063
163.0,490.0,455.0,108.66666666666667,326.6666666666667,303.3333333333333,49.6,48.68,45.27,50.0,5433.333333333334,16333.333333333334,15166.666666666666,-0.3999999999999986,-1.3200000000000003,-4.729999999999997
409.0,1233.0,1236.0,240.58823529411762,725.2941176470588,727.0588235294117,59.79,60.24,55.56,60.0,14435.294117647058,43517.647058823524,43623.5294117647,-0.21000000000000085,0.240000000000002,-4.439999999999998
434.0,1250.0,1209.0,289.3333333333333,833.3333333333334,806.0,50.73,50.65,47.6,50.0,14466.666666666666,41666.66666666667,40300.0,0.7299999999999969,0.6499999999999986,-2.3999999999999986
,831.0,,,554.0,,,48.16,,50.0,,27700.0,,,-1.8400000000000034,
343.0,1094.0,1225.0,163.33333333333331,520.952380952381,583.3333333333333,80.52,78.46,83.08,80.0,13066.666666666664,41676.19047619047,46666.66666666666,0.519999999999996,-1.5400000000000063,3.0799999999999983
356.0,981.0,1029.0,323.6363636363636,891.8181818181818,935.4545454545454,29.23,28.86,30.96,30.0,9709.090909090908,26754.545454545452,28063.63636363636,-0.7699999999999996,-1.1400000000000006,0.9600000000000009
440.0,1276.0,1193.0,293.3333333333333,850.6666666666666,795.3333333333334,50.41,50.85,49.02,50.0,14666.666666666666,42533.33333333333,39766.66666666667,0.4099999999999966,0.8500000000000014,-0.9799999999999969
,1361.0,,,680.5,,,73.55,,75.0,,51037.5,,,-1.4500000000000028,
,990.0,,,480.58252427184465,,,77.49,,78.0,,37485.436893203885,,,-0.5100000000000051,
,1368.0,,,677.2277227722773,,,74.06,,76.0,,51469.30693069307,,,-1.9399999999999977,
306.0,877.0,947.0,204.0,584.6666666666666,631.3333333333334,48.6,48.01,49.48,50.0,10200.0,29233.333333333332,31566.666666666668,-1.3999999999999986,-1.990000000000002,-0.5200000000000031
,772.0,,,821.2765957446809,,,21.97,,22.0,,18068.08510638298,,,-0.030000000000001137,
303.0,856.0,744.0,275.45454545454544,778.1818181818181,676.3636363636363,29.94,30.63,31.71,30.0,8263.636363636364,23345.454545454544,20290.90909090909,-0.05999999999999872,0.629999999999999,1.7100000000000009
445.0,1302.0,1319.0,261.7647058823529,765.8823529411764,775.8823529411764,59.05,58.5,58.05,60.0,15705.882352941175,45952.94117647058,46552.94117647058,-0.9500000000000028,-1.5,-1.9500000000000028
202.0,627.0,577.0,134.66666666666666,418.0,384.6666666666667,50.26,50.86,43.79,50.0,6733.333333333333,20900.0,19233.333333333336,0.259999999999998,0.8599999999999994,-6.210000000000001
407.0,1271.0,1168.0,369.99999999999994,1155.4545454545453,1061.8181818181818,29.97,31.61,30.48,30.0,11099.999999999998,34663.63636363636,31854.545454545452,-0.030000000000001137,1.6099999999999994,0.4800000000000004
,1214.0,,,689.7727272727273,,,59.16,,63.0,,43455.681818181816,,,-3.8400000000000034,
432.0,1233.0,1170.0,392.7272727272727,1120.9090909090908,1063.6363636363635,28.76,30.51,29.38,30.0,11781.81818181818,33627.27272727272,31909.090909090904,-1.2399999999999984,0.5100000000000016,-0.620000000000001
367.0,1168.0,1095.0,367.0,1168.0,1095.0,26.24,26.65,22.16,25.0,9175.0,29200.0,27375.0,1.2399999999999984,1.6499999999999986,-2.84
,1345.0,,,616.9724770642202,,,76.54,,84.0,,51825.6880733945,,,-7.459999999999994,
414.0,1348.0,1248.0,197.14285714285714,641.9047619047619,594.2857142857142,79.07,79.49,80.95,80.0,15771.42857142857,51352.380952380954,47542.85714285714,-0.9300000000000068,-0.5100000000000051,0.9500000000000028
340.0,982.0,1034.0,226.66666666666666,654.6666666666666,689.3333333333334,49.52,51.95,48.34,50.0,11333.333333333332,32733.333333333332,34466.66666666667,-0.4799999999999969,1.9500000000000028,-1.6599999999999966
,1175.0,,,1049.1071428571427,,,29.31,,31.0,,32522.321428571424,,,-1.6900000000000013,
,974.0,,,993.8775510204082,,,24.1,,24.0,,23853.061224489797,,,0.10000000000000142,
,780.0,,,590.9090909090909,,,36.95,,41.0,,24227.272727272724,,,-4.049999999999997,
112.0,120.0,,58.94736842105264,63.15789473684211,,71.53,66.33,,70.0,4126.315789473684,4421.0526315789475,,1.5300000000000011,-3.6700000000000017,
,1275.0,,,671.0526315789474,,,68.71,,70.0,,46973.68421052632,,,-1.2900000000000063,
,1201.0,,,606.5656565656566,,,72.73,,74.0,,44885.85858585859,,,-1.269999999999996,
,739.0,,,486.1842105263158,,,49.55,,51.0,,24795.394736842103,,,-1.4500000000000028,
,1381.0,,,704.5918367346939,,,63.08,,73.0,,51435.20408163265,,,-9.920000000000002,
119.0,346.0,318.0,79.33333333333333,230.66666666666666,212.0,49.1,51.0,47.64,50.0,3966.6666666666665,11533.333333333332,10600.0,-0.8999999999999986,1.0,-2.3599999999999994
,1186.0,,,898.4848484848485,,,40.21,,41.0,,36837.87878787879,,,-0.7899999999999991,
289.0,319.0,,190.1315789473684,209.8684210526316,,49.94,46.49,,51.0,9696.710526315788,10703.289473684212,,-1.0600000000000023,-4.509999999999998,
320.0,981.0,1079.0,152.38095238095238,467.1428571428571,513.8095238095237,80.09,80.09,77.87,80.0,12190.47619047619,37371.428571428565,41104.7619047619,0.09000000000000341,0.09000000000000341,-2.1299999999999955
323.0,917.0,937.0,293.6363636363636,833.6363636363635,851.8181818181818,29.84,31.22,32.03,30.0,8809.090909090908,25009.090909090904,25554.545454545452,-0.16000000000000014,1.2199999999999989,2.030000000000001
641.0,679.0,,337.3684210526316,357.3684210526316,,68.71,69.16,,70.0,23615.789473684214,25015.789473684214,,-1.2900000000000063,-0.8400000000000034,
413.0,1205.0,1213.0,275.3333333333333,803.3333333333334,808.6666666666666,49.63,49.21,51.62,50.0,13766.666666666666,40166.66666666667,40433.33333333333,-0.36999999999999744,-0.7899999999999991,1.6199999999999974
576.0,588.0,,514.2857142857142,525.0,,31.53,31.3,,31.0,15942.857142857141,16275.0,,0.5300000000000011,0.3000000000000007,
,1196.0,,,604.040404040404,,,72.89,,74.0,,44698.9898989899,,,-1.1099999999999994,
,1335.0,,,623.8317757009346,,,82.96,,82.0,,51154.20560747664,,,0.9599999999999937,
,1263.0,,,725.8620689655172,,,61.13,,62.0,,45003.448275862065,,,-0.8699999999999974,
256.0,733.0,750.0,196.9230769230769,563.8461538461538,576.9230769230769,39.21,41.84,38.42,40.0,7876.923076923076,22553.846153846152,23076.923076923078,-0.7899999999999991,1.8400000000000034,-1.5799999999999983
