NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02,Temp_M03,EC_M03,source
0.0,25.0,1,25.0,2473.0,78.0,2499.0,89.0,,,excel
0.0,25.0,1,25.0,2223.0,49.0,2650.0,95.0,2499.0,89.0,csv_heatplate
0.0,25.0,2,25.0,2446.0,77.0,2516.0,87.0,,,excel
0.0,25.0,2,25.0,2216.0,49.0,2398.0,93.0,2516.0,87.0,csv_heatplate
0.0,25.0,3,26.0,2507.0,78.0,2548.0,91.0,,,excel
0.0,25.0,3,25.0,2135.0,46.0,2485.0,94.0,2548.0,91.0,csv_heatplate
0.0,25.0,4,26.0,2548.0,80.0,2606.0,93.0,,,excel
0.0,25.0,4,25.0,2245.0,47.0,2475.0,94.0,2606.0,93.0,csv_heatplate
0.0,25.0,5,26.0,2543.0,81.0,2604.0,87.0,,,excel
0.0,25.0,5,25.0,2284.0,48.0,2480.0,93.0,2604.0,87.0,csv_heatplate
0.0,30.0,1,30.0,3020.0,82.0,2971.0,89.0,,,excel
0.0,30.0,1,30.0,2873.0,57.0,3069.0,96.0,2971.0,89.0,csv_heatplate
0.0,30.0,2,30.0,2946.0,82.0,2883.0,57.0,,,excel
0.0,30.0,2,30.0,3004.0,64.0,3053.0,98.0,2883.0,57.0,csv_heatplate
0.0,30.0,3,30.0,2913.0,80.0,2966.0,94.0,,,excel
0.0,30.0,3,30.0,3014.0,59.0,3074.0,99.0,2966.0,94.0,csv_heatplate
0.0,30.0,4,30.0,3025.0,83.0,2997.0,89.0,,,excel
0.0,30.0,4,30.0,3025.0,52.0,3064.0,98.0,2997.0,89.0,csv_heatplate
0.0,30.0,5,30.0,2954.0,80.0,2986.0,82.0,,,excel
0.0,30.0,5,30.0,3030.0,51.0,3105.0,98.0,2986.0,82.0,csv_heatplate
0.0,40.0,1,40.0,3892.0,89.0,3706.0,105.0,,,excel
0.0,40.0,1,40.0,3836.0,52.0,3898.0,103.0,3706.0,105.0,csv_heatplate
0.0,40.0,2,40.0,3954.0,89.0,3886.0,105.0,,,excel
0.0,40.0,2,40.0,3936.0,52.0,3939.0,105.0,3886.0,105.0,csv_heatplate
0.0,40.0,3,40.0,4051.0,88.0,4039.0,109.0,,,excel
0.0,40.0,3,40.0,3901.0,52.0,3871.0,104.0,4039.0,109.0,csv_heatplate
0.0,40.0,4,41.0,4036.0,92.0,3895.0,105.0,,,excel
0.0,40.0,4,40.0,3856.0,51.0,3901.0,104.0,3895.0,105.0,csv_heatplate
0.0,40.0,5,40.0,3951.0,94.0,3850.0,103.0,,,excel
0.0,40.0,5,40.0,3941.0,52.0,3927.0,104.0,3850.0,103.0,csv_heatplate
0.0,50.0,1,50.0,5029.0,101.0,4554.0,112.0,,,excel
0.0,50.0,1,50.0,5041.0,67.0,5136.0,120.0,4554.0,112.0,csv_heatplate
0.0,50.0,2,50.0,5022.0,100.0,4582.0,109.0,,,excel
0.0,50.0,2,50.0,5040.0,70.0,4827.0,122.0,4582.0,109.0,csv_heatplate
0.0,50.0,3,50.0,5006.0,98.0,4617.0,108.0,,,excel
0.0,50.0,3,50.0,4994.0,64.0,4894.0,126.0,4617.0,108.0,csv_heatplate
0.0,50.0,4,50.0,4998.0,100.0,4710.0,107.0,,,excel
0.0,50.0,4,50.0,4830.0,63.0,5032.0,126.0,4710.0,107.0,csv_heatplate
0.0,50.0,5,50.0,5049.0,99.0,4724.0,105.0,,,excel
0.0,50.0,5,50.0,4948.0,69.0,5003.0,125.0,4724.0,105.0,csv_heatplate
0.0,60.0,1,61.0,5860.0,109.0,5381.0,117.0,,,excel
0.0,60.0,1,60.0,6016.0,62.0,6053.0,137.0,5381.0,117.0,csv_heatplate
0.0,60.0,2,62.0,6236.0,106.0,5584.0,119.0,,,excel
0.0,60.0,2,60.0,5835.0,68.0,6102.0,141.0,5584.0,119.0,csv_heatplate
0.0,60.0,3,61.0,6119.0,107.0,5557.0,115.0,,,excel
0.0,60.0,3,60.0,5911.0,64.0,6003.0,142.0,5557.0,115.0,csv_heatplate
0.0,60.0,4,60.0,5921.0,107.0,5220.0,114.0,,,excel
0.0,60.0,4,60.0,6011.0,67.0,6021.0,140.0,5220.0,114.0,csv_heatplate
0.0,60.0,5,60.0,6037.0,107.0,5170.0,123.0,,,excel
0.0,60.0,5,60.0,6102.0,67.0,6011.0,135.0,5170.0,123.0,csv_heatplate
0.0,70.0,1,71.0,7107.0,116.0,6032.0,124.0,,,excel
0.0,70.0,1,70.0,6981.0,71.0,6945.0,162.0,6032.0,124.0,csv_heatplate
0.0,70.0,2,70.0,7054.0,117.0,6312.0,124.0,,,excel
0.0,70.0,2,70.0,6994.0,70.0,7099.0,163.0,6312.0,124.0,csv_heatplate
0.0,70.0,3,70.0,7153.0,112.0,6633.0,120.0,,,excel
0.0,70.0,3,70.0,7035.0,69.0,7023.0,168.0,6633.0,120.0,csv_heatplate
0.0,70.0,4,70.0,7208.0,115.0,6429.0,124.0,,,excel
0.0,70.0,4,70.0,7018.0,71.0,6898.0,160.0,6429.0,124.0,csv_heatplate
0.0,70.0,5,71.0,7265.0,115.0,6431.0,121.0,,,excel
0.0,70.0,5,70.0,7132.0,70.0,7100.0,161.0,6431.0,121.0,csv_heatplate
0.0,80.0,1,81.0,8379.0,137.0,8285.0,152.0,,,excel
0.0,80.0,1,80.0,7935.0,70.0,8009.0,222.0,8285.0,152.0,csv_heatplate
0.0,80.0,2,82.0,8476.0,133.0,8227.0,152.0,,,excel
0.0,80.0,2,80.0,7896.0,69.0,8192.0,215.0,8227.0,152.0,csv_heatplate
0.0,80.0,3,84.0,8655.0,130.0,8476.0,157.0,,,excel
0.0,80.0,3,80.0,8127.0,71.0,8105.0,190.0,8476.0,157.0,csv_heatplate
0.0,80.0,4,85.0,8859.0,136.0,7739.0,150.0,,,excel
0.0,80.0,4,80.0,8084.0,69.0,8171.0,211.0,7739.0,150.0,csv_heatplate
0.0,80.0,5,87.0,8989.0,136.0,8789.0,154.0,,,excel
0.0,80.0,5,80.0,8073.0,70.0,7946.0,218.0,8789.0,154.0,csv_heatplate
0.1,25.0,1,25.0,2485.0,217.0,2470.0,233.0,,,excel
0.1,25.0,1,25.0,2586.0,86.0,2312.0,233.0,2470.0,233.0,csv_heatplate
0.1,25.0,2,25.0,2485.0,213.0,2526.0,237.0,,,excel
0.1,25.0,2,25.0,2491.0,85.0,2257.0,228.0,2526.0,237.0,csv_heatplate
0.1,25.0,3,26.0,2565.0,218.0,2587.0,231.0,,,excel
0.1,25.0,3,25.0,2596.0,86.0,2250.0,226.0,2587.0,231.0,csv_heatplate
0.1,25.0,4,26.0,2558.0,218.0,2614.0,240.0,,,excel
0.1,25.0,4,25.0,2545.0,85.0,2259.0,229.0,2614.0,240.0,csv_heatplate
0.1,25.0,5,26.0,2563.0,215.0,2587.0,237.0,,,excel
0.1,25.0,5,25.0,2487.0,87.0,2209.0,229.0,2587.0,237.0,csv_heatplate
0.1,30.0,1,30.0,2971.0,225.0,2821.0,247.0,,,excel
0.1,30.0,1,30.0,3009.0,92.0,3012.0,252.0,2821.0,247.0,csv_heatplate
0.1,30.0,2,31.0,2954.0,230.0,2841.0,248.0,,,excel
0.1,30.0,2,30.0,2903.0,95.0,3144.0,250.0,2841.0,248.0,csv_heatplate
0.1,30.0,3,30.0,3012.0,231.0,2908.0,249.0,,,excel
0.1,30.0,3,30.0,2971.0,93.0,3006.0,248.0,2908.0,249.0,csv_heatplate
0.1,30.0,4,31.0,2999.0,290.0,2838.0,246.0,,,excel
0.1,30.0,4,30.0,2946.0,95.0,2976.0,241.0,2838.0,246.0,csv_heatplate
0.1,30.0,5,30.0,2969.0,231.0,2856.0,244.0,,,excel
0.1,30.0,5,30.0,2926.0,96.0,2974.0,256.0,2856.0,244.0,csv_heatplate
0.1,40.0,1,40.0,3987.0,262.0,3666.0,233.0,,,excel
0.1,40.0,1,40.0,3912.0,103.0,3842.0,288.0,3666.0,233.0,csv_heatplate
0.1,40.0,2,40.0,3966.0,253.0,3602.0,278.0,,,excel
0.1,40.0,2,40.0,3990.0,103.0,3886.0,292.0,3602.0,278.0,csv_heatplate
0.1,40.0,3,41.0,4100.0,263.0,3845.0,279.0,,,excel
0.1,40.0,3,40.0,3976.0,108.0,3909.0,291.0,3845.0,279.0,csv_heatplate
0.1,40.0,4,40.0,3924.0,255.0,3546.0,276.0,,,excel
0.1,40.0,4,40.0,3939.0,100.0,3859.0,291.0,3546.0,276.0,csv_heatplate
0.1,40.0,5,40.0,3898.0,260.0,3510.0,273.0,,,excel
0.1,40.0,5,40.0,3898.0,103.0,3959.0,292.0,3510.0,273.0,csv_heatplate
0.1,50.0,1,51.0,4994.0,289.0,4649.0,319.0,,,excel
0.1,50.0,1,50.0,5091.0,115.0,4981.0,345.0,4649.0,319.0,csv_heatplate
0.1,50.0,2,50.0,4875.0,288.0,4359.0,310.0,,,excel
0.1,50.0,2,50.0,4957.0,114.0,4947.0,347.0,4359.0,310.0,csv_heatplate
0.1,50.0,3,50.0,5061.0,209.0,4724.0,322.0,,,excel
0.1,50.0,3,50.0,5013.0,112.0,4951.0,343.0,4724.0,322.0,csv_heatplate
0.1,50.0,4,51.0,5117.0,301.0,4541.0,325.0,,,excel
0.1,50.0,4,50.0,5068.0,124.0,5023.0,345.0,4541.0,325.0,csv_heatplate
0.1,50.0,5,51.0,5101.0,299.0,4764.0,318.0,,,excel
0.1,50.0,5,50.0,4910.0,119.0,5100.0,346.0,4764.0,318.0,csv_heatplate
0.1,60.0,1,60.0,6086.0,325.0,5584.0,353.0,,,excel
0.1,60.0,1,60.0,5902.0,124.0,5810.0,385.0,5584.0,353.0,csv_heatplate
0.1,60.0,2,60.0,6102.0,325.0,5373.0,345.0,,,excel
0.1,60.0,2,60.0,5946.0,124.0,5931.0,374.0,5373.0,345.0,csv_heatplate
0.1,60.0,3,60.0,6021.0,320.0,5348.0,548.0,,,excel
0.1,60.0,3,60.0,5897.0,126.0,6048.0,377.0,5348.0,548.0,csv_heatplate
0.1,60.0,4,60.0,6011.0,319.0,5430.0,348.0,,,excel
0.1,60.0,4,60.0,6021.0,122.0,6064.0,381.0,5430.0,348.0,csv_heatplate
0.1,60.0,5,60.0,5984.0,321.0,5421.0,356.0,,,excel
0.1,60.0,5,60.0,6045.0,125.0,6012.0,379.0,5421.0,356.0,csv_heatplate
0.1,70.0,1,71.0,7232.0,345.0,6450.0,387.0,,,excel
0.1,70.0,1,70.0,6913.0,130.0,6985.0,413.0,6450.0,387.0,csv_heatplate
0.1,70.0,2,70.0,6836.0,330.0,6108.0,378.0,,,excel
0.1,70.0,2,70.0,6845.0,132.0,7001.0,411.0,6108.0,378.0,csv_heatplate
0.1,70.0,3,70.0,7084.0,356.0,6499.0,394.0,,,excel
0.1,70.0,3,70.0,7064.0,132.0,7046.0,410.0,6499.0,394.0,csv_heatplate
0.1,70.0,4,72.0,7281.0,35.0,6794.0,348.0,,,excel
0.1,70.0,4,70.0,6841.0,134.0,7001.0,406.0,6794.0,348.0,csv_heatplate
0.1,70.0,5,71.0,7138.0,353.0,5697.0,389.0,,,excel
0.1,70.0,5,70.0,7162.0,131.0,6987.0,401.0,5697.0,389.0,csv_heatplate
0.1,80.0,1,80.0,7968.0,403.0,6277.0,414.0,,,excel
0.1,80.0,1,80.0,7999.0,144.0,8013.0,458.0,6277.0,414.0,csv_heatplate
0.1,80.0,2,82.0,8308.0,417.0,7599.0,459.0,,,excel
0.1,80.0,2,80.0,7906.0,145.0,7916.0,457.0,7599.0,459.0,csv_heatplate
0.1,80.0,3,81.0,8084.0,423.0,7305.0,447.0,,,excel
0.1,80.0,3,80.0,7938.0,142.0,7927.0,450.0,7305.0,447.0,csv_heatplate
0.1,80.0,4,80.0,8116.0,430.0,7001.0,441.0,,,excel
0.1,80.0,4,80.0,7999.0,140.0,7988.0,450.0,7001.0,441.0,csv_heatplate
0.1,80.0,5,80.0,8160.0,417.0,7501.0,437.0,,,excel
0.1,80.0,5,80.0,7856.0,142.0,7947.0,459.0,7501.0,437.0,csv_heatplate
0.2,25.0,1,25.0,2434.0,305.0,2423.0,116.0,,,excel
0.2,25.0,1,25.0,2173.0,115.0,2276.0,338.0,2423.0,116.0,csv_heatplate
0.2,25.0,2,25.0,2470.0,306.0,2529.0,339.0,,,excel
0.2,25.0,2,25.0,2121.0,116.0,2283.0,337.0,2529.0,339.0,csv_heatplate
0.2,25.0,3,26.0,2529.0,305.0,2567.0,234.0,,,excel
0.2,25.0,3,25.0,2261.0,115.0,2300.0,334.0,2567.0,234.0,csv_heatplate
0.2,25.0,4,26.0,2548.0,310.0,2611.0,341.0,,,excel
0.2,25.0,4,25.0,2052.0,116.0,2312.0,335.0,2611.0,341.0,csv_heatplate
0.2,25.0,5,26.0,2541.0,315.0,2553.0,337.0,,,excel
