NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
0.0,25,1,25,2473.0,78.0,2499,89.0
0.0,25,2,25,2446.0,77.0,2516,87.0
0.0,25,3,26,2507.0,78.0,2548,91.0
0.0,25,4,26,2548.0,80.0,2606,93.0
0.0,25,5,26,2543.0,81.0,2604,87.0
0.0,30,1,30,3020.0,82.0,2971,89.0
0.0,30,2,30,2946.0,82.0,2883,57.0
0.0,30,3,30,2913.0,80.0,2966,94.0
0.0,30,4,30,3025.0,83.0,2997,89.0
0.0,30,5,30,2954.0,80.0,2986,82.0
0.0,40,1,40,3892.0,89.0,3706,105.0
0.0,40,2,40,3954.0,89.0,3886,105.0
0.0,40,3,40,4051.0,88.0,4039,109.0
0.0,40,4,41,4036.0,92.0,3895,105.0
0.0,40,5,40,3951.0,94.0,3850,103.0
0.0,50,1,50,5029.0,101.0,4554,112.0
0.0,50,2,50,5022.0,100.0,4582,109.0
0.0,50,3,50,5006.0,98.0,4617,108.0
0.0,50,4,50,4998.0,100.0,4710,107.0
0.0,50,5,50,5049.0,99.0,4724,105.0
0.0,60,1,61,5860.0,109.0,5381,117.0
0.0,60,2,62,6236.0,106.0,5584,119.0
0.0,60,3,61,6119.0,107.0,5557,115.0
0.0,60,4,60,5921.0,107.0,5220,114.0
0.0,60,5,60,6037.0,107.0,5170,123.0
0.0,70,1,71,7107.0,116.0,6032,124.0
0.0,70,2,70,7054.0,117.0,6312,124.0
0.0,70,3,70,7153.0,112.0,6633,120.0
0.0,70,4,70,7208.0,115.0,6429,124.0
0.0,70,5,71,7265.0,115.0,6431,121.0
0.0,80,1,81,8379.0,137.0,8285,152.0
0.0,80,2,82,8476.0,133.0,8227,152.0
0.0,80,3,84,8655.0,130.0,8476,157.0
0.0,80,4,85,8859.0,136.0,7739,150.0
0.0,80,5,87,8989.0,136.0,8789,154.0
0.1,25,1,25,2485.0,217.0,2470,233.0
0.1,25,2,25,2485.0,213.0,2526,237.0
0.1,25,3,26,2565.0,218.0,2587,231.0
0.1,25,4,26,2558.0,218.0,2614,240.0
0.1,25,5,26,2563.0,215.0,2587,237.0
0.1,30,1,30,2971.0,225.0,2821,247.0
0.1,30,2,31,2954.0,230.0,2841,248.0
0.1,30,3,30,3012.0,231.0,2908,249.0
0.1,30,4,31,2999.0,290.0,2838,246.0
0.1,30,5,30,2969.0,231.0,2856,244.0
0.1,40,1,40,3987.0,262.0,3666,233.0
0.1,40,2,40,3966.0,253.0,3602,278.0
0.1,40,3,41,4100.0,263.0,3845,279.0
0.1,40,4,40,3924.0,255.0,3546,276.0
0.1,40,5,40,3898.0,260.0,3510,273.0
0.1,50,1,51,4994.0,289.0,4649,319.0
0.1,50,2,50,4875.0,288.0,4359,310.0
0.1,50,3,50,5061.0,209.0,4724,322.0
0.1,50,4,51,5117.0,301.0,4541,325.0
0.1,50,5,51,5101.0,299.0,4764,318.0
0.1,60,1,60,6086.0,325.0,5584,353.0
0.1,60,2,60,6102.0,325.0,5373,345.0
0.1,60,3,60,6021.0,320.0,5348,548.0
0.1,60,4,60,6011.0,319.0,5430,348.0
0.1,60,5,60,5984.0,321.0,5421,356.0
0.1,70,1,71,7232.0,345.0,6450,387.0
0.1,70,2,70,6836.0,330.0,6108,378.0
0.1,70,3,70,7084.0,356.0,6499,394.0
0.1,70,4,72,7281.0,35.0,6794,348.0
0.1,70,5,71,7138.0,353.0,5697,389.0
0.1,80,1,80,7968.0,403.0,6277,414.0
0.1,80,2,82,8308.0,417.0,7599,459.0
0.1,80,3,81,8084.0,423.0,7305,447.0
0.1,80,4,80,8116.0,430.0,7001,441.0
0.1,80,5,80,8160.0,417.0,7501,437.0
0.2,25,1,25,2434.0,305.0,2423,116.0
0.2,25,2,25,2470.0,306.0,2529,339.0
0.2,25,3,26,2529.0,305.0,2567,234.0
0.2,25,4,26,2548.0,310.0,2611,341.0
0.2,25,5,26,2541.0,315.0,2553,337.0
0.2,30,1,30,2992.0,327.0,2878,352.0
0.2,30,2,30,2928.0,328.0,2739,348.0
0.2,30,3,30,2964.0,325.0,2898,360.0
0.2,30,4,30,2938.0,326.0,2781,354.0
0.2,30,5,30,2892.0,320.0,2702,351.0
0.2,40,1,40,3999.0,363.0,3524,393.0
0.2,40,2,41,4004.0,371.0,3692,405.0
0.2,40,3,40,3948.0,368.0,3661,408.0
0.2,40,4,40,4116.0,371.0,3723,409.0
0.2,40,5,41,4082.0,377.0,3709,408.0
0.2,50,1,50,5121.0,420.0,4469,454.0
0.2,50,2,50,4967.0,417.0,4408,451.0
0.2,50,3,50,4944.0,407.0,4554,457.0
0.2,50,4,50,4998.0,416.0,4493,457.0
0.2,50,5,50,5033.0,416.0,4527,455.0
0.2,60,1,60,6135.0,474.0,5443,510.0
0.2,60,2,60,6113.0,416.0,5448,466.0
0.2,60,3,60,5906.0,468.0,5228,454.0
0.2,60,4,60,6011.0,469.0,5312,499.0
0.2,60,5,60,6037.0,464.0,5249,510.0
0.2,70,1,70,6914.0,483.0,6219,538.0
0.2,70,2,70,7154.0,503.0,6248,565.0
0.2,70,3,70,7039.0,499.0,6353,544.0
0.2,70,4,70,7092.0,502.0,6169,560.0
0.2,70,5,70,7031.0,494.0,6419,544.0
0.2,80,1,81,7406.0,667.0,6767,714.0
0.2,80,2,82,8262.0,637.0,7645,769.0
0.2,80,3,83,8488.0,673.0,7256,772.0
0.2,80,4,84,8516.0,685.0,7937,791.0
0.2,80,5,85,8708.0,676.0,7988,795.0
0.3,25,1,25,2439.0,382.0,2444,401.0
0.3,25,2,25,2473.0,325.0,2519,124.0
0.3,25,3,26,2512.0,388.0,2565,389.0
0.3,25,4,26,2543.0,390.0,2602,406.0
